metin,eksiler,kategori,onem_skoru
"Yeşilin Kalbi Daha Da Büyüsün! Trabzon Meydanı'mızın o güzelim atmosferi daha da canlansın! Rengarenk çiçekler, mis kokulu bitkilerle donatılsın. Oturacak şık ve rahat alanlar çoğalsın, şöyle içimizi ferahlatan bir düzenleme yapılsın!",2,Çevre,2
"Sahilde Özgürce Pedal Çevirelim! O mis gibi deniz havasını içimize çekerken, sahil yolumuzda güvenle bisiklet sürebileceğimiz, keyifle yürüyebileceğimiz ayrı yollarımız olsun! Mevcut yollarımız da şöyle bir elden geçirilse, tadından yenmez!",2,Ulaşım,2
"Boztepe'ye Ulaşımımız Göklerde Olsun! Şehrimizin incisi Boztepe'ye çıkmak artık daha keyifli hale gelsin! Belki bir teleferik hayalimizi gerçekleştiririz, ya da mevcut toplu taşıma araçlarımız daha sık ve rahat seferler düzenler!",2,Ulaşım,2
"Tarihimiz Daha Çok Konuşsun! Trabzon Müzemiz ve o tarihi çevresi öyle bir ışıldasın ki, herkes hayran kalsın! Tanıtımı yapılsın, o güzelim dokusu korunup kollansın, adeta bir zaman yolculuğuna çıkalım!",2,İmar / Yapı,2
"Meydanımız Şenlensin, Sanatla Dolsun! Atatürk Alanı'mızda o coşkulu kalabalıklar daha da artsın! Birbirinden güzel konserler, sergiler, festivallerle şehrimizin kalbi daha canlı atsın!",2,Sosyal Hizmet,2
"Pazarlarımız Mis Gibi Olsun! O taptaze ürünlerin sergilendiği semt pazarlarımız daha düzenli, daha hijyenik olsun! Tezgahlar şöyle bir örnek olsa, çöplerimiz de hemen toplansa!",2,Temizlik,2
"Hastaneye Ulaşımımız Nefes Aldırsın! Kanuni Hastanemiz etrafındaki o trafik çilesi bitsin artık! Alternatif yollar, akıllı trafik düzenlemeleriyle herkes rahat bir nefes alsın!",2,Ulaşım,2
"Can Dostlarımıza Sıcak Bir Yuva Kuralım! Şehrimizdeki o sevimli sokak hayvanlarımız için modern, şefkat dolu bir merkezimiz olsun! Onların bakımları yapılsın, sıcak yuvalara kavuşmaları sağlansın!",2,Çevre,2
"Bordo-Mavi Coşku Her Yere Yayılsın! Trabzonspor'umuzun maç günlerinde o heyecan tüm şehri sarsın! Stadyum çevresindeki trafik kolaylaşsın, taraftarlarımız rahatça ulaşımını sağlasın diye özel seferler konsun!",2,Ulaşım,2
"Güzelliklerimiz Dünyaya Açılsın! Uzungöl'ümüz, Sümela'mız gibi eşsiz güzelliklerimize ulaşımımız daha rahat olsun! Yollarımız güzelleşsin, çevre düzenlemeleriyle o büyülü atmosfer korunup kollansın!",2,İmar / Yapı,2
Şehrin kültürel varlıklarının tanıtımı ve restorasyonu konularında daha fazla bütçe ve ilgi gösterilmesi gerekmektedir.,2,İmar / Yapı,2
Mahalle içi yürüyüş yollarının aydınlatılması ve bakımının yapılması gerektiğini düşünüyoruz.,2,Güvenlik,2
Kış aylarında yolların tuzlanması konusunda geç kalınıyor. Bu durum kazalara sebep olabilir.,2,Altyapı,2
Şehir içi bilgilendirme panoları çok az. Etkinlikleri kaçırıyoruz.,2,Diğer,2
KTÜ kampüsünden şehir merkezine giden bazı otobüs hatlarının özellikle sabah ve akşam saatlerinde çok dolu olduğu ve ek seferler konulması gerektiği.,2,Ulaşım,2
"İskenderpaşa Mahallesi, Kunduracılar Caddesi'nde sık sık yaşanan su kesintilerinin nedenleri hakkında bilgi verilmesi ve kalıcı çözüm bulunması talebi.",2,Altyapı,2
Sahil şeridindeki bazı piknik alanlarında çöplerin düzenli olarak toplanmadığı ve daha fazla çöp kutusu yerleştirilmesi gerektiği şikayeti.,2,Temizlik,2
Yenicuma Mahallesi'nde plansız yapılaşmanın önüne geçilmesi ve mevcut yeşil alanların korunması yönünde denetimlerin artırılması talebi.,2,İmar / Yapı,2
Yaşlı ve engelli vatandaşlar için sunulan evde bakım hizmetlerinin kapsamının genişletilmesi ve daha fazla kişiye ulaşılması önerisi.,1,Sosyal Hizmet,1
Şehirdeki kültürel etkinliklerin sayısının artırılması ve bu etkinliklerin daha geniş kitlelere duyurulması için çalışmalar yapılması talebi.,2,Sosyal Hizmet,2
Atatürk Alanı'ndaki bazı bankların kırık olduğu ve parkın genel bakımının iyileştirilmesi gerektiği şikayeti.,2,Çevre,2
Uzunsokak'ta bazı esnafların kaldırım işgali yaptığı ve yayaların geçişini zorlaştırdığı yönünde şikayet ve bu durumun denetlenmesi talebi.,2,Güvenlik,2
Yangın hidrantlarının düzenli olarak kontrol edilip çalışır durumda olduğundan emin olunması ve bu konuda bilgilendirme yapılması talebi.,2,Güvenlik,2
Kahramanmaraş Caddesi'ndeki bazı binaların dış cephelerinin bakımsız olduğu ve şehrin genel görünümünü olumsuz etkilediği yönünde şikayet ve iyileştirme çalışmaları yapılması önerisi.,2,İmar / Yapı,2
"Maç günleri Akyazı Stadı'na giden otobüsler o kadar kalabalık oluyor ki, resmen üst üste gidiyoruz. Özellikle maç bitimi dönüşlerde ek seferler şart!",2,Ulaşım,2
Stadyum çevresindeki otopark fiyatları maç günleri fahiş oluyor. Belediyenin bu konuda bir düzenleme yapması gerekiyor.,2,Ulaşım,2
Maç sonrası stadyum çevresinde inanılmaz bir çöp yığını kalıyor. Daha fazla çöp kutusu ve temizlik ekibi görevlendirilse çok iyi olur.,3,Temizlik,3
Boztepe yolunda sürekli elektrik kesintisi yaşıyoruz. Özellikle kış aylarında bu durum hayatı olumsuz etkiliyor. Kalıcı bir çözüm bekliyoruz.,3,Altyapı,3
Gençler için daha fazla spor tesisi ve aktivite alanı yapılmasını istiyoruz. Şehirde sosyalleşebileceğimiz yeterli yer yok.,2,Sosyal Hizmet,2
Gülbahar Hatun Mahallesi'ndeki eski binaların durumu içler acısı. Kentsel dönüşüm projelerinin hızlandırılması gerekiyor.,2,İmar / Yapı,2
Şehir merkezindeki trafik yoğunluğu çekilmez hale geldi. Özellikle saat kulesi civarında alternatif yollar ve düzenlemeler yapılmalı.,2,Ulaşım,2
Semt pazarlarında bazı satıcılar fahiş fiyat uyguluyor ve haksız kazanç elde ediyor. Zabıta denetimlerinin sıklaştırılması lazım.,2,Diğer,2
Meydan Parkı'nın daha iyi bakılması ve çiçeklendirilmesi gerekiyor. Şehrin kalbindeki bu alan daha güzel olmalı.,2,Çevre,2
Bazı kaldırımlar o kadar bozuk ki yürümek işkenceye dönüyor. Özellikle yaşlılar ve engelliler için bu durum çok zorlayıcı.,2,Altyapı,2
Şehir içinde deniz taksi veya vapur seferleri gibi alternatif ulaşım imkanları değerlendirilebilir.,1,Ulaşım,1
Şehrin tarihi ve turistik yerlerinin tanıtımı daha etkin yapılmalı. Turist sayısını artırmak için daha fazla çaba gösterilmeli.,2,Sosyal Hizmet,2
Şehirde bisiklet kullanımını teşvik etmek için daha fazla bisiklet yolu yapılması gerekiyor.,1,Ulaşım,1
Toplu taşıma araçları ve kamu binalarındaki engelli erişim standartları yetersiz. Bu konuda daha duyarlı olunmalı.,2,Sosyal Hizmet,2
Belediyeye ulaşmak ve sorunlarımızı iletmek bazen çok zor oluyor. Daha kolay ve hızlı bir iletişim kanalı oluşturulmalı.,2,Diğer,2
Bazı bölgelerde şebeke suyunun tadında ve kokusunda zaman zaman değişiklikler oluyor. Su kalitesiyle ilgili düzenli bilgilendirme yapılmasını rica ediyoruz.,2,Altyapı,2
Sanayi bölgelerinden kaynaklanan hava kirliliği zaman zaman hissediliyor. Hava kalitesi ölçümlerinin şeffaf bir şekilde paylaşılması ve önleyici tedbirler alınması önemli.,2,Çevre,2
Özellikle gece geç saatlerde bazı eğlence mekanlarından yayılan yüksek ses rahatsızlık veriyor. Bu konuda denetimlerin artırılması gerekiyor.,2,Güvenlik,2
Yaz aylarında sahillerde cankurtaran sayısının yetersiz olduğu görülüyor. Daha fazla cankurtaran görevlendirilmesi olası kazaların önüne geçebilir.,2,Güvenlik,2
Sokak hayvanlarının durumu içler acısı. Onlar için daha güvenli yaşam alanları oluşturulması ve kısırlaştırma çalışmalarının artırılması gerekiyor.,2,Çevre,2
Yerel üreticilerin desteklenmesi ve ürünlerini doğrudan tüketiciye ulaştırabileceği platformlar oluşturulması önemli.,2,Ekonomi,2
Şehirdeki kütüphane sayısının artırılması ve mevcut kütüphanelerin daha modern hale getirilmesi gerekiyor.,2,Sosyal Hizmet,2
Daha fazla ve daha güvenli çocuk oyun alanına ihtiyaç var. Mevcut parklardaki oyun ekipmanları da yenilenmeli.,2,Çevre,2
Semt konaklarının sayısının artırılması ve buralarda farklı yaş gruplarına yönelik etkinlikler düzenlenmesi sosyal hayata katkı sağlar.,2,Sosyal Hizmet,2
Engelli park yerlerine usulsüz park eden araçlara karşı daha sıkı denetim yapılması gerekiyor.,2,Güvenlik,2
Mezarlıkların bakımı ve temizliği konusunda daha özenli davranılması ve ziyaretçiler için gerekli düzenlemelerin yapılması gerekiyor.,2,Temizlik,2
Yeni yerleşim yerlerine ve ihtiyaç duyulan bölgelere toplu taşıma güzergahlarının genişletilmesi gerekiyor.,2,Ulaşım,2
Taksi duraklarının sayısının yetersiz olduğu ve bazı bölgelerde taksi bulmakta zorluk yaşandığı görülüyor.,2,Ulaşım,2
Bazı cadde ve sokaklardaki aydınlatma yetersiz. Özellikle gece geç saatlerde güvenlik açısından sorun oluşturuyor.,2,Güvenlik,2
Dere yataklarının temizliği ve ıslahı konusunda düzenli çalışmalar yapılması olası sel felaketlerinin önüne geçebilir.,2,Çevre,2
Şehir içinde uygun alanlarda kentsel tarım uygulamalarının desteklenmesi hem çevreye hem de ekonomiye katkı sağlar.,1, Çevre,1
Geri dönüşüm bilincinin artırılması ve geri dönüşüm tesislerinin yaygınlaştırılması gerekiyor.,2,Çevre,2
Şehir genelinde kullanılabilecek bir bisiklet kiralama sisteminin hayata geçirilmesi toplu taşımaya alternatif olabilir.,1,Ulaşım,1
Farklı sanat dallarında atölye çalışmalarının düzenleneceği mekanların sayısının artırılması kültürel gelişime katkı sağlar.,1,Sosyal Hizmet,1
Mahalle muhtarlıklarının belediye ile daha etkin bir iletişim içinde olması ve sorunların daha hızlı çözülmesine katkı sağlaması gerekiyor.,1,Diğer,1
Trabzon'un tarihi ve kültürel mirasını koruyacak kapsamlı bir kent arşivi oluşturulması önemli.,2,Kültür,2
Şehrin tanıtımına katkı sağlayacak ve sosyal hayatı canlandıracak daha fazla festival ve şenlik düzenlenmeli.,2,Sosyal Hizmet,2
Yerel radyo ve televizyonların şehir sorunlarına daha fazla yer vermesi ve çözüm önerileri sunması faydalı olacaktır.,1,Diğer,1
"Farklı toplu taşıma araçlarında (otobüs, dolmuş vb.) geçerli tek bir ulaşım kartı sistemine geçilmesi kullanım kolaylığı sağlar.",1,Ulaşım,1
Şehrin farklı noktalarında turist bilgilendirme merkezlerinin kurulması ve buralarda farklı dillerde hizmet verilmesi gerekiyor.,2,Turizm,2
Sahil dolgu alanlarının amacı dışına çıkarılması ve betonlaşmanın artması deniz ekosistemine zarar veriyor ve şehrin doğal güzelliğini azaltıyor.,3,Çevre ,3
"Meydan Parkı'nın ticari amaçlarla kullanımı yaygınlaşıyor, halkın dinlenebileceği ve sosyalleşebileceği yeşil alan olma özelliğini yitiriyor.",2,Çevre ,2
Şehrin uzun vadeli ulaşım sorunlarını çözecek kapsamlı bir ulaşım master planının hala hayata geçirilmemiş olması büyük bir eksiklik.,1,Ulaşım,1
Özellikle hafta sonları ve akşam saatlerinde toplu taşıma seferlerinin yetersizliği vatandaşların hareketliliğini kısıtlıyor.,1,Ulaşım,1
Şehir merkezindeki dolmuş duraklarının düzensizliği ve yetersizliği trafik karmaşasına neden oluyor.,2,Ulaşım,2
Yayalaştırma projelerinin yavaş ilerlemesi ve bazı bölgelerde eksik kalması yaya güvenliğini ve şehir merkezinin cazibesini olumsuz etkiliyor.,2,Ulaşım,2
Şehirdeki tarihi binaların birçoğu kaderine terk edilmiş durumda. Bu yapıların restore edilerek kültürel mirasa kazandırılması gerekiyor.,1,Kültür,1
Binaların dış cephelerinde ve şehir mobilyalarında bir bütünlük sağlanamaması görsel kirliliğe yol açıyor. Estetik kurallar belirlenmeli.,2,Şehircilik,2
Şehrin çeşitli yerlerine kontrolsüz bir şekilde yerleştirilen reklam panoları görüntü kirliliği yaratıyor ve bazı tarihi yapıların görünümünü engelliyor.,2,Estetik,2
Kıyı kenar çizgisinin ihlal edilerek yapılan yapılar hem yasalara aykırı hem de doğal güzellikleri tahrip ediyor.,2,Çevre,2
Şehrin bazı bölgelerinde özellikle yağışlı havalarda heyelan ve erozyon tehlikesi yaşanıyor. Önleyici çalışmalar yapılmalı.,2,Afet Yönetimi,2
Şehir içinden geçen derelerin ıslah çalışmalarının yetersiz kalması kötü koku ve çevre kirliliğine neden oluyor.,2,Çevre,2
Atıksu arıtma tesislerinin kapasitesinin yetersiz olması deniz kirliliği sorununu çözmekte etkisiz kalıyor.,1,Çevre,1
Katı atık toplama ve ayrıştırma sistemlerinin daha verimli hale getirilmesi ve geri dönüşüm oranlarının artırılması gerekiyor.,1,Çevre,1
Evsel organik atıkların kompostlanması veya enerjiye dönüştürülmesi gibi çevre dostu yöntemler yaygınlaştırılmalı.,1,Çevre,1
